size,Triton,Torch
4096.000000,12.694215,12.800000
8192.000000,25.600001,26.482758
16384.000000,45.176470,43.885713
32768.000000,70.217145,69.423731
65536.000000,111.455787,117.588514
131072.000000,154.566035,153.600004
262144.000000,190.881545,186.889738
524288.000000,213.936885,200.415898
1048576.000000,222.785263,223.927109
2097152.000000,229.950880,231.849058
4194304.000000,234.057145,238.601945
8388608.000000,235.635062,239.765849
16777216.000000,237.449270,242.557478
33554432.000000,238.245037,243.477406
67108864.000000,239.182490,242.891081
134217728.000000,239.762428,244.633002
